MOBILE SAFETY CAMERA LOCATION DESCRIPTION REPORT,Unnamed: 1,Unnamed: 2,Unnamed: 3
Corrigan Road,NOBLE PARK,C,2024-08-01 00:00:00
Coulstock Street,WARRNAMBOOL,C,2024-10-01 00:00:00
Cowra Avenue,IRYMPLE,ABC,2024-08-01 00:00:00
Cowra Avenue,MILDURA,ABC,2024-08-01 00:00:00
Cox Road,NORLANE,AC,2024-08-01 00:00:00
Craig Road,CRANBOURNE SOUTH,B,2024-04-01 00:00:00
Craig Road,DEVON MEADOWS,B,2024-04-01 00:00:00
Craigie Road,MOUNT MARTHA,C,2024-09-01 00:00:00
Craigieburn Road,WOLLERT,ABCD,T
Craigieburn Road,WOLLERT,AC,2024-08-01 00:00:00
Craigieburn Road,CRAIGIEBURN,C,2024-08-01 00:00:00
Cramer Street,WARRNAMBOOL,C,2024-10-01 00:00:00
Cranbourne-Frankston Road,LANGWARRIN,ABC,2024-09-01 00:00:00
CRANE Street,JACKASS FLAT,ACD,2024-10-01 00:00:00
Cravens Road,MERNDA,BCD,2024-08-01 00:00:00
Creswick Road,BALLARAT CENTRAL,ABCD,T
Creswick Road,BALLARAT,C,2024-08-01 00:00:00
Creswick-Newstead Road,CAMPBELLTOWN,ABCD,2024-08-01 00:00:00
Creswick-Newstead Road,NEWSTEAD,C,2024-10-01 00:00:00
Crook Street,KENNINGTON,BCD,2024-10-01 00:00:00
Crusoe Road,KANGAROO FLAT,ABCD,2024-10-01 00:00:00
Cumberland Road,PASCOE VALE,ABCD,2024-08-01 00:00:00
Cureton Avenue,MILDURA,AC,2024-08-01 00:00:00
Curlewis Road,CURLEWIS,C,2024-08-01 00:00:00
Curlewis Street,SWAN HILL,C,2024-08-01 00:00:00
Curtin Street,FLORA HILL,BCD,2024-10-01 00:00:00
Cuthberts Road,LUCAS,ABCD,2024-08-01 00:00:00
Dalmore Road,KOO WEE RUP,BC,2024-04-01 00:00:00
Dalrymple Road,SUNBURY,C,2024-08-01 00:00:00
Dalton Road,EPPING,ABCD,2023-09-01 00:00:00
Dalton Road,LALOR,BCD,2024-08-01 00:00:00
Dandenong Bypass,DANDENONG SOUTH,BC,2024-08-01 00:00:00
Dandenong Road,CAULFIELD NORTH,ABCD,2024-04-01 00:00:00
Dandenong Road,MALVERN,ABCD,2024-04-01 00:00:00
Dandenong Road,PRAHRAN,ABCD,2024-06-01 00:00:00
Dandenong Road,WINDSOR,ABCD,2024-06-01 00:00:00
Dandenong Road East,FRANKSTON,ABC,2024-09-01 00:00:00
Dandenong-Hastings Road,CRANBOURNE,C,2024-04-01 00:00:00
Dandenong-Hastings Road,TYABB,C,2024-09-01 00:00:00
Danks Street,MIDDLE PARK,ABCD,2024-06-01 00:00:00
Darebin Road,THORNBURY,BCD,2024-08-01 00:00:00
Dargo road,LINDENOW,C,2023-12-01 00:00:00
Darian Road,TORQUAY,BC,2024-08-01 00:00:00
Darling Road,MALVERN EAST,C,2024-06-01 00:00:00
Darlington Road,STAWELL,C,2024-10-01 00:00:00
Dartmoor-Hamilton Road,YULECART,ABC,2024-10-01 00:00:00
Dartmoor-Hamilton Road,HAMILTON,C,2024-10-01 00:00:00
Davisson Street,EPPING,C,2024-08-01 00:00:00
Daylesford-Malmsbury Road,DENVER,ABCD,2024-08-01 00:00:00
Dead Horse Lane,MANSFIELD,BCD,2024-10-01 00:00:00
Deakin Avenue,MILDURA,ABC,2024-08-01 00:00:00
Deep Creek Road,MITCHAM,BC,2024-06-01 00:00:00
Delatite Road,SEYMOUR,C,2024-08-01 00:00:00
Delta Road,GREENSBOROUGH,ABCD,2024-08-01 00:00:00
Dendy Street,BRIGHTON,A,2024-03-01 00:00:00
Dendy Street,BRIGHTON EAST,ABC,2024-03-01 00:00:00
Derrimut Road,HOPPERS CROSSING,ABCD,2024-04-01 00:00:00
Devon Road,PASCOE VALE,C,2024-08-01 00:00:00
Devonshire Road,SUNSHINE,BCD,2024-06-01 00:00:00
Diamond Creek Road,GREENSBOROUGH,BCD,2024-08-01 00:00:00
Diggers Rest Coimadai Road,TOOLERN VALE,ABCD,2024-05-02 00:00:00
Diggers Rest-Coimadai Road,COIMADAI,ABCD,2024-08-01 00:00:00
Diggers Rest-Coimadai Road,DIGGERS REST,BCD,2024-05-02 00:00:00
Diggers Rest-Coimadai Road,TOOLERN VALE,BCD,2024-05-02 00:00:00
Dinah Parade,KEILOR EAST,C,2024-08-01 00:00:00
Dingley Bypass,DINGLEY VILLAGE,ABCD,T
Dingley Bypass,CLARINDA,ABCD,T
Dingley Bypass,HEATHERTON,AC,2024-03-01 00:00:00
Dohertys Road,ALTONA NORTH,ABCD,T
Dohertys Road,TRUGANINA,BCD,T
Don Road,BADGER CREEK,AC,2024-07-01 00:00:00
Donald Cameron Drive,ROXBURGH PARK,C,2024-08-01 00:00:00
Donald-Swan Hill Road,KALPIENUNG,C,2024-08-01 00:00:00
Donald-Swan Hill Road,LALBERT,C,2024-08-01 00:00:00
Donald-Swan Hill Road,SWAN HILL,C,2024-08-01 00:00:00
Donnybrook Road,MICKLEHAM,ABC,2024-08-01 00:00:00
Donnybrook Road,YAN YEAN,C,2024-08-01 00:00:00
Donovans Way,MANSFIELD,BCD,2024-04-01 00:00:00
Dooen Road,HORSHAM,C,2024-10-01 00:00:00
Dorset Road,CROYDON,ABC,2024-07-01 00:00:00
Doveton Street North,INVERMAY PARK,BC,2024-08-01 00:00:00
Doveton Street North,BALLARAT NORTH,BCD,2024-08-01 00:00:00
Downes Road,CASTLEMAINE,C,2024-10-01 00:00:00
Driscolls Road,KEALBA,BC,2024-05-02 00:00:00
Dromana Parade,SAFETY BEACH,ABCD,2024-09-01 00:00:00
Drummond Street South,BALLARAT,C,2024-08-01 00:00:00
Drysdale-Ocean Grove Road,WALLINGTON,BC,2024-08-01 00:00:00
Duff Street,CRANBOURNE WEST,B,2024-04-01 00:00:00
Duke Street,SUNSHINE,ABCD,2024-05-02 00:00:00
Dunblane Road,NOBLE PARK,BC,2024-08-01 00:00:00
Duncan Drive,PAKENHAM,BC,2024-04-01 00:00:00
Duncans Road,WERRIBEE,C,2023-08-01 00:00:00
Dundas Road,MARYBOROUGH,BCD,2024-10-01 00:00:00
Dundas Street,PRESTON,ABC,2024-08-01 00:00:00
Dundas Street,RYE,C,2024-09-01 00:00:00
Dunkeld-Cavendish Road,MOUTAJUP,AC,2024-10-01 00:00:00
Dunne Street,KINGSBURY,ABC,2024-08-01 00:00:00
Dunns Creek Road,DROMANA,ABC,2024-09-01 00:00:00
Dwyer Street,KALKALLO,ABCD,2024-08-01 00:00:00
Dynon Road,WEST MELBOURNE,ABCD,2024-08-01 00:00:00
Earl Street,KEW,ABCD,T
East Boundary Road,BENTLEIGH EAST,C,2024-06-01 00:00:00
East Esplanade,ST ALBANS,BCD,2024-05-02 00:00:00
East Street,HADFIELD,BC,2024-08-01 00:00:00
Eastbourne Road,ROSEBUD,ABC,2024-09-01 00:00:00
Eastfield Road,CROYDON,BCD,2024-07-01 00:00:00
Eaststone Avenue,WOLLERT,BCD,2024-06-01 00:00:00
Echuca-Kyabram Road,ECHUCA,CD,2024-05-02 00:00:00
Echuca-Mooroopna Road,MOOROOPNA NORTH,BC,2024-08-01 00:00:00
Echuca-Mooroopna Road,UNDERA,BC,2024-08-01 00:00:00
Echuca-Mooroopna Road,ST GERMAINS,C,2024-08-01 00:00:00
Edenvale Boulevard,WOLLERT,BCD,2024-08-01 00:00:00
Edgar Street,PORTLAND,C,T
Edgars Road,LALOR,ABCD,2024-08-01 00:00:00
Edgars Road,EPPING,BC,2024-01-01 00:00:00
Edgars Road,WOLLERT,BCD,2024-07-01 00:00:00
Edithvale Road,CHELSEA HEIGHTS,AC,2024-06-01 00:00:00
Edward Road,CHIRNSIDE PARK,ABC,2024-07-01 00:00:00
Edwardes Street,RESERVOIR,BCD,2024-08-01 00:00:00
Edwards Road,JACKASS FLAT,ABCD,2024-10-01 00:00:00
Eighth Street,MILDURA,ABCD,2024-08-01 00:00:00
Eildon-Jamieson Road,EILDON,C,2024-04-01 00:00:00
Eildon-Jamieson Road,JAMIESON,C,2024-04-01 00:00:00
Elcho Road,LARA,BC,2024-08-01 00:00:00
Elder Street,WATSONIA,BC,2024-08-01 00:00:00
Elevation Boulevard,CRAIGIEBURN,ABC,2024-08-01 00:00:00
Eleventh Street,IRYMPLE,ABCD,2024-08-01 00:00:00
Eleventh Street,MILDURA,ABCD,2024-08-01 00:00:00
Elgar Road,BOX HILL SOUTH,C,2024-06-01 00:00:00
Elgar Road,BURWOOD,C,2024-06-01 00:00:00
Elizabeth Drive,SUNBURY,BC,2024-08-01 00:00:00
Elizabeth Street,COBURG,ABC,2024-08-01 00:00:00
Elizabeth Street,ARARAT,BC,2024-10-01 00:00:00
Elizabeth Street,EDENHOPE,C,2024-10-01 00:00:00
Ellscott Boulevard,MICKLEHAM,ABC,2024-08-01 00:00:00
Eltham-Yarra Glen Road,KANGAROO GROUND,ABCD,2024-08-01 00:00:00
Eltham-Yarra Glen Road,CHRISTMAS HILLS,AC,2024-08-01 00:00:00
Eltham-Yarra Glen Road,WATSONS CREEK,B,2024-08-01 00:00:00
Elvins Street,MANSFIELD,BCD,2024-04-01 00:00:00
Elwers Road,ROSEBUD,BCD,2024-09-01 00:00:00
Emily Street,SEYMOUR,ABCD,T
Emu Creek Road,STRATHFIELDSAYE,AC,2024-10-01 00:00:00
Emu Road,MAIDSTONE,BC,2023-08-01 00:00:00
Epping Road,WOLLERT,ABCD,2024-08-01 00:00:00
Epping Road,EPPING,BCD,2024-08-01 00:00:00
Epping Road,WOODSTOCK,C,2024-08-01 00:00:00
Epsom Road,ASCOT VALE,C,2024-08-01 00:00:00
Epsom-Barnadown Road,ASCOT,BC,2024-10-01 00:00:00
Ernst Wanke Road,BERWICK,B,2024-04-01 00:00:00
Erskine Road,MACLEOD,AC,2024-08-01 00:00:00
Esplanade,BRIGHTON,ABCD,2024-03-01 00:00:00
Esplanade,MOUNT MARTHA,ABCD,2024-07-01 00:00:00
Esplanade,ALTONA,B,2023-08-01 00:00:00
Essex Street,WEST FOOTSCRAY,C,2023-08-01 00:00:00
Ester Street,GREENSBOROUGH,BCD,2024-08-01 00:00:00
Etiwanda Avenue,MILDURA,ABCD,2024-08-01 00:00:00
Eureka Street,BALLARAT EAST,ABC,2024-08-01 00:00:00
Euroa-Mansfield Road,EUROA,ABC,2024-04-01 00:00:00
Euroa-Mansfield Road,GOORAM,ABC,2024-04-01 00:00:00
Euroa-Mansfield Road,MERTON,C,2024-04-01 00:00:00
Euroa-Shepparton Road,EUROA,C,2024-04-01 00:00:00
Euroa-Shepparton Road,MIEPOLL,C,2024-08-01 00:00:00
Everleigh Drive,DIAMOND CREEK,BD,2024-08-01 00:00:00
Exford Road,EXFORD,ABCD,2024-05-02 00:00:00
Exford Road,MELTON SOUTH,C,2024-05-02 00:00:00
Eynesbury Road,EYNESBURY,BC,2024-05-02 00:00:00
Eyre Street,ECHUCA,C,2024-05-02 00:00:00
Fairbairn Road,SUNSHINE WEST,BCD,2024-06-01 00:00:00
Fairbank Road,CLAYTON SOUTH,ABCD,2024-03-01 00:00:00
Federation Way,BOWSER,ABC,2024-05-02 00:00:00
Fellmongers Road,BREAKWATER,ABCD,2024-08-01 00:00:00
Felltimber Creek Road,WODONGA,BC,2024-10-01 00:00:00
Ferntree Gully Road,FERNTREE GULLY,A,2024-03-01 00:00:00
Ferntree Gully Road,WHEELERS HILL,ABCD,2023-11-01 00:00:00
Ferntree Gully Road,CLAYTON,ABCD,T
Ferris Road,MELTON SOUTH,C,2024-05-02 00:00:00
Field Street,RYE,C,2024-09-01 00:00:00
Fifteenth Street,MILDURA,ABCD,2024-06-01 00:00:00
Fifteenth Street,IRYMPLE,AC,2024-08-01 00:00:00
Finch Street,MALVERN EAST,ABCD,2024-06-01 00:00:00
Findon Road,SOUTH MORANG,BC,2024-08-01 00:00:00
Findon Road,EPPING,BCD,2024-08-01 00:00:00
Finlayson Street,ROSANNA,B,2024-08-01 00:00:00
Fischer Street,TORQUAY,ABCD,2024-08-01 00:00:00
Fisken Street,BACCHUS MARSH,ABCD,2024-08-01 00:00:00
Fitzgerald Road,DERRIMUT,BCD,2024-06-01 00:00:00
Fitzgerald Road,SUNSHINE WEST,BCD,2024-06-01 00:00:00
Fitzroy Avenue,RED CLIFFS,ABCD,2024-03-01 00:00:00
Fitzsimons Lane,TEMPLESTOWE,AC,2024-06-01 00:00:00
Flaxen Hills Road,DOREEN,BC,2024-08-01 00:00:00
Flaxman Street,WARRNAMBOOL,ABCD,2023-11-01 00:00:00
Fletcher Street,ESSENDON,BCD,2024-08-01 00:00:00
Flora Avenue,MILDURA,ABCD,2024-08-01 00:00:00
Forest Red Gum Drive,MICKLEHAM,ABC,2024-08-01 00:00:00
Forrest Street,ALBION,BC,2024-05-02 00:00:00
Forrest Street,ARDEER,BC,2024-05-02 00:00:00
Fosters Road,KEILOR PARK,BCD,2024-06-01 00:00:00
Fourteenth Street,MILDURA,ABCD,2024-08-01 00:00:00
Fourteenth Street,IRYMPLE,C,2024-08-01 00:00:00
Frankston-Dandenong Road,FRANKSTON NORTH,ABCD,2024-07-01 00:00:00
Frankston-Dandenong Road,SEAFORD,ABCD,2024-09-01 00:00:00
Frankston-Dandenong Road,BANGHOLME,C,2024-08-01 00:00:00
Frankston-Dandenong Road,FRANKSTON,C,2024-09-01 00:00:00
Frankston-Flinders Road,BITTERN,ABC,2024-09-01 00:00:00
Frankston-Flinders Road,SOMERVILLE,ABCD,2024-09-01 00:00:00
Frankston-Flinders Road,TYABB,ABCD,2024-09-01 00:00:00
Frankston-Flinders Road,FRANKSTON SOUTH,ABCD,T
Frawley Road,HALLAM,ABC,2024-04-01 00:00:00
Fryers Road,HIGHTON,BCD,2024-08-01 00:00:00
Fullarton Road,KEILOR PARK,BCD,2024-06-01 00:00:00
Fulton Road,BLACKBURN SOUTH,ACD,2024-06-01 00:00:00
Furlong Road,ST ALBANS,BCD,2024-05-02 00:00:00
Furlong Road,SUNSHINE NORTH,BCD,2024-06-01 00:00:00
Fyansford-Gheringhap Road,GHERINGHAP,BC,2024-08-01 00:00:00
Gaffney Street,PASCOE VALE,C,2024-08-01 00:00:00
Gallaghers Road,GLEN WAVERLEY,C,2024-06-01 00:00:00
Gap Road,SUNBURY,ABC,2024-08-01 00:00:00
Garden Road,CLAYTON,ABC,2024-06-01 00:00:00
Garden Street,PORTLAND,C,T
Gardenia Street,HORSHAM,AC,2024-10-01 00:00:00
Garnett Road,WHEELERS HILL,ACD,2024-06-01 00:00:00
Gateshead Drive,WANTIRNA SOUTH,BCD,2024-07-01 00:00:00
Gayview Drive,WODONGA WEST,ABCD,2024-10-01 00:00:00
Gear Avenue,MOUNT HELEN,BC,2024-08-01 00:00:00
Geelong Road,BANNOCKBURN,ABCD,2024-08-01 00:00:00
Geelong Road,BROOKLYN,ABCD,T
Geelong-Bacchus Marsh Road,BACCHUS MARSH,C,2024-08-01 00:00:00
Geelong-Bacchus Marsh Road,BALLIANG EAST,C,2024-08-01 00:00:00
Geelong-Ballan Road,BALLAN,ABC,2024-08-01 00:00:00
Geelong-Ballan Road,BEREMBOKE,ABC,2024-08-01 00:00:00
Geelong-Ballan Road,MOUNT WALLACE,ABC,2024-08-01 00:00:00
George Street,SANDRINGHAM,AC,2024-03-01 00:00:00
George Street,DONCASTER,C,2024-01-01 00:00:00
George Street,HAMILTON,C,2024-10-01 00:00:00
Gibsons Road,SALE,C,2023-12-01 00:00:00
Gilbert Road,RESERVOIR,ABCD,2024-08-01 00:00:00
Gilbert Road,PRESTON,BCD,2024-02-01 00:00:00
Gillespie Road,KINGS PARK,BCD,2024-06-01 00:00:00
Gillies Road,BALD HILLS,ABCD,2024-08-01 00:00:00
Gillies Road,MOUNT ROWAN,BC,2024-02-01 00:00:00
Gillies Road,ASCOT,BC,2024-08-01 00:00:00
Gillies Road,SULKY,BC,2024-08-01 00:00:00
Gillies Street,MARYBOROUGH,BCD,2024-10-01 00:00:00
Gisborne - Melton Road,KURUNJANG,BCD,2024-05-02 00:00:00
Gisborne Road,COIMADAI,ABCD,2024-08-01 00:00:00
Gisborne Road,BACCHUS MARSH,C,2024-08-01 00:00:00
Gisborne-Melton Road,TOOLERN VALE,ABC,2024-05-02 00:00:00
Gisborne-Melton Road,KURUNJANG,ABCD,2024-05-02 00:00:00
Gisborne-Melton Road,MELTON,BC,2024-05-02 00:00:00
Gisbourne Road,DARLEY,ABCD,2024-08-01 00:00:00
Gladesville Boulevard,PATTERSON LAKES,ACD,2024-03-01 00:00:00
Gladstone Road,DANDENONG NORTH,C,2024-08-01 00:00:00
Gladstone Street,MARYBOROUGH,C,2024-10-01 00:00:00
Glen Huntly Road,ELWOOD,BC,2024-06-01 00:00:00
Glen Iris Road,GLEN IRIS,ABCD,2024-07-01 00:00:00
Glen Katherine Drive,ST HELENA,B,2024-08-01 00:00:00
Glenbarry Road,CAMPBELLFIELD,BC,2024-08-01 00:00:00
Glencairn Drive,GREENVALE,BC,2024-08-01 00:00:00
Glenelg Highway,DUNKELD,ABC,2024-10-01 00:00:00
Glenelg Highway,WARRAYURE,AC,2024-10-01 00:00:00
Glenelg Highway,LAKE BOLAC,AC,2024-10-01 00:00:00
Glenelg Highway,WICKLIFFE,AC,2024-10-01 00:00:00
Glenelg Highway,SMYTHESDALE,BC,2024-08-01 00:00:00
Glenelg Highway,CARRANBALLAC,C,2024-01-01 00:00:00
Glenelg Highway,SKIPTON,C,2024-08-01 00:00:00
Glenelg Highway,SMYTHES CREEK,C,2024-08-01 00:00:00
Glenelg Highway,PITTONG,C,2024-08-01 00:00:00
Glenelg Highway,COLERAINE,C,2024-10-01 00:00:00
Glenelg Highway,GLENTHOMPSON,C,2024-10-01 00:00:00
Glenelg Highway,HAMILTON,C,2024-10-01 00:00:00
Glenelg Highway,WANNON,C,2024-10-01 00:00:00
Glenelg Highway,STREATHAM,C,2024-10-01 00:00:00
Glenelg Highway,WESTMERE,C,2024-10-01 00:00:00
Glenelg Highway,CASTERTON,C,T
Glenfern Road,UPWEY,ABC,2024-07-01 00:00:00
Glenferrie Road,HAWTHORN,ACD,2024-07-01 00:00:00
Glenferrie Road,MALVERN,C,2024-06-01 00:00:00
Glengala Road,SUNSHINE WEST,BCD,2024-06-01 00:00:00
Glengarry West Road,GLENGARRY WEST,AC,2024-02-01 00:00:00
Glenrowan Myrtleford Road,MARKWOOD,C,2024-05-02 00:00:00
Glenrowan-Myrtleford Road,WHOROULY,ABC,2024-05-02 00:00:00
Glenrowan-Myrtleford Road,LACEBY,AC,2024-05-02 00:00:00
Glenroy Road,GLENROY,C,2024-08-01 00:00:00
Golf Course Road,HAVEN,C,2024-10-01 00:00:00
Golf Links Road,BARWON HEADS,ABCD,2024-08-01 00:00:00
Golf Links Road,NARRE WARREN,B,2024-04-01 00:00:00
Golf Links Road,FRANKSTON,C,2024-09-01 00:00:00
Goodwin Street,BENALLA,BC,2024-05-02 00:00:00
Gordon Street,WODONGA,BCD,2024-10-01 00:00:00
Gordons Road,SOUTH MORANG,ABCD,2024-08-01 00:00:00
Gorge Road,SOUTH MORANG,AC,2024-08-01 00:00:00
Goulburn Valley Freeway,MANGALORE,AC,2024-08-01 00:00:00
Goulburn Valley Freeway,NAGAMBIE,C,2024-08-01 00:00:00
Goulburn Valley Freeway,WAHRING,C,2024-08-01 00:00:00
Goulburn Valley Highway,STRATHMERTON,ABCD,2024-07-01 00:00:00
Goulburn Valley Highway,YIELIMA,ABCD,2024-07-01 00:00:00
Goulburn Valley Highway,BUNDALONG,ABCD,2024-07-01 00:00:00
Goulburn Valley Highway,COBRAM,ABCD,2024-07-01 00:00:00
Goulburn Valley Highway,KATAMATITE,ABCD,2024-07-01 00:00:00
Goulburn Valley Highway,YARRAWONGA,ABCD,2024-07-01 00:00:00
Goulburn Valley Highway,SEYMOUR,ABCD,2024-08-01 00:00:00
Goulburn Valley Highway,NATHALIA,ABCD,2024-08-01 00:00:00
Goulburn Valley Highway,NUMURKAH,ABCD,2024-10-01 00:00:00
Goulburn Valley Highway,WUNGHNU,ABCD,2024-10-01 00:00:00
Goulburn Valley Highway,KIALLA WEST,ABCD,T
Goulburn Valley Highway,MOLESWORTH,AC,2024-08-01 00:00:00
Goulburn Valley Highway,EILDON,C,2024-04-01 00:00:00
Goulburn Valley Highway,KORIELLA,C,2024-04-01 00:00:00
Goulburn Valley Highway,HOMEWOOD,C,2024-08-01 00:00:00
Goulburn Valley Highway,TALLYGAROOPNA,C,2024-08-01 00:00:00
Goulburn Valley Highway,KOONOOMOO,C,2024-10-01 00:00:00
Goulburn Valley Hwy,SHEPPARTON NORTH,AC,2024-08-01 00:00:00
Gourlay Road,TAYLORS HILL,BC,2024-05-02 00:00:00
Gourlay Road,HILLSIDE,BCD,2024-05-02 00:00:00
Governor Road,BRAESIDE,AC,2024-03-01 00:00:00
Gower Street,PRESTON,BCD,2024-08-01 00:00:00
Goynes Road,EPSOM,ABCD,2024-10-01 00:00:00
Graham Road,KYVALLEY,CD,2024-05-02 00:00:00
Graham Street,PORT MELBOURNE,ABCD,2024-06-01 00:00:00
Graham Street,WONTHAGGI,BC,2024-09-01 00:00:00
Grampians Road,MOKEPILLY,AC,2024-10-01 00:00:00
Grampians Road,HALLS GAP,C,2024-10-01 00:00:00
Grandvue Boulevard,PAKENHAM,BC,2024-04-01 00:00:00
Grange Drive,SOUTH MORANG,BC,2024-08-01 00:00:00
Grange Road,TOORAK,ABC,2024-06-01 00:00:00
Grange Road,ALPHINGTON,AC,2024-08-01 00:00:00
Grano Street,ARARAT,B,2024-10-01 00:00:00
Grants Road,WHITTLESEA,AC,2024-08-01 00:00:00
Grants Road,EDEN PARK,C,2024-08-01 00:00:00
Gravesend Street,COLAC,AC,2024-08-01 00:00:00
Gray Street,SWAN HILL,C,2023-09-01 00:00:00
Graydens Road,HASTINGS,ABC,2024-09-01 00:00:00
Great Alpine Road,SMOKO,ABC,2024-03-01 00:00:00
Great Alpine Road,BOWMANS FOREST,ABC,2024-04-01 00:00:00
Great Alpine Road,EUROBIN,ABC,2024-04-01 00:00:00
Great Alpine Road,POREPUNKAH,ABCD,2024-04-01 00:00:00
Great Alpine Road,EAST WANGARATTA,ACD,2024-05-02 00:00:00
Great Alpine Road,TARRAWINGEE,ACD,2024-05-02 00:00:00
Great Alpine Road,OVENS,B,2024-04-01 00:00:00
Great Alpine Road,DOCTORS FLAT,BC,2023-12-01 00:00:00
Great Alpine Road,BRIGHT,BC,2024-04-01 00:00:00
Great Alpine Road,HARRIETVILLE,BCD,2024-03-01 00:00:00
Great Alpine Road,GRANITE ROCK,C,2023-12-01 00:00:00
Great Alpine Road,OMEO,C,2023-12-01 00:00:00
Great Alpine Road,SARSFIELD,C,2023-12-01 00:00:00
Great Alpine Road,SWIFTS CREEK,C,2023-12-01 00:00:00
Great Alpine Road,WISELEIGH,C,2023-12-01 00:00:00
Great Alpine Road,GAPSTED,CD,T
Great Ocean  Road,ANGLESEA,ABCD,2024-08-01 00:00:00
Great Ocean  Road,APOLLO BAY,C,2024-08-01 00:00:00
Great Ocean Road,LORNE,ABC,2024-08-01 00:00:00
Great Ocean Road,PORT CAMPBELL,ABCD,2023-11-01 00:00:00
Great Ocean Road,WONGARRA,AC,2024-08-01 00:00:00
Great Ocean Road,PETERBOROUGH,C,2023-11-01 00:00:00
Great Ocean Road,SKENES CREEK,C,2024-08-01 00:00:00
Greaves Road,NARRE WARREN SOUTH,B,2024-04-01 00:00:00
Green Gully Road,KEILOR DOWNS,ABCD,T
Green Street,NOBLE PARK,B,2024-08-01 00:00:00
Greenhalghs Road,BUNKERS HILL,BC,2024-08-01 00:00:00
Greensborough Road,GREENSBOROUGH,ABCD,2024-08-01 00:00:00
Greensborough Road,YALLAMBIE,BCD,2024-08-01 00:00:00
Greenvale Drive,GREENVALE,BC,2024-08-01 00:00:00
Greenwood Drive,BUNDOORA,BCD,2024-08-01 00:00:00
Greigs Road,STRATHTULLOH,ABCD,2024-05-02 00:00:00
Greythorn Road,BALWYN NORTH,C,2024-06-01 00:00:00
Grieve Parade,ALTONA NORTH,ABCD,T
Grigg Road,KOONDROOK,C,T
Grubb Road,OCEAN GROVE,BC,2024-08-01 00:00:00
Guthridge Parade,SALE,C,2023-12-01 00:00:00
Guys Hill Road,STRATHFIELDSAYE,ABCD,2024-10-01 00:00:00
Hall Road,CARRUM DOWNS,ABC,2024-09-01 00:00:00
Hallam South Road,HAMPTON PARK,AC,2024-04-01 00:00:00
Hamilton  Highway,WINGEEL,AC,2024-08-01 00:00:00
Hamilton Highway,CRESSY,ABC,2024-08-01 00:00:00
Hamilton Highway,BERRYBANK,ABCD,2023-11-01 00:00:00
Hamilton Highway,MURGHEBOLUC,AC,2024-08-01 00:00:00
Hamilton Highway,STONEHAVEN,AC,2024-08-01 00:00:00
Hamilton Highway,LISMORE,C,2023-11-01 00:00:00
Hamilton Highway,MORTLAKE,C,2023-11-01 00:00:00
Hamilton Highway,PENSHURST,C,2024-10-01 00:00:00
Hamilton Street,PETERBOROUGH,ABCD,T
Hamilton Street,BROADFORD,ABCD,T
Hamilton-Natimuk Road,CAVENDISH,C,2024-10-01 00:00:00
Hampden Road,ARMADALE,CD,2024-06-01 00:00:00
Hampshire Road,SUNSHINE,BCD,2024-06-01 00:00:00
Hampton Street,BRIGHTON,ABCD,2024-03-01 00:00:00
Hanlon Parade,PORTLAND,C,T
Hanson Road,CRAIGIEBURN,C,2024-08-01 00:00:00
Harcourt Road,BORONIA,BC,2024-02-01 00:00:00
Harding Street,COBURG,BCD,2024-08-01 00:00:00
Hargraves Street,CASTLEMAINE,ABCD,2024-10-01 00:00:00
Hargreaves Street,GOLDEN SQUARE,BCD,2024-10-01 00:00:00
Harold Road,SPRINGVALE SOUTH,C,2024-08-01 00:00:00
Harris Street,WARRNAMBOOL,C,2023-11-01 00:00:00
Hatchlands Drive,DEER PARK,BCD,2024-06-01 00:00:00
Hattah-Robinvale Road,HATTAH,C,2024-08-01 00:00:00
Haverbrack Drive,MULGRAVE,ABCD,2024-06-01 00:00:00
Havilah Road,LONG GULLY,BCD,2024-10-01 00:00:00
Hawkins Street,SHEPPARTON,BC,2024-08-01 00:00:00
Hawthorn Road,CAULFIELD SOUTH,B,2024-06-01 00:00:00
Hazel Glen Drive,MERNDA,C,2024-08-01 00:00:00
Heads Road,DONVALE,C,2024-01-01 00:00:00
Healesville-Kinglake Road,CHUM CREEK,ABCD,2024-07-01 00:00:00
Healesville-Koo Wee Rup Road,WOORI YALLOCK,ABC,2024-05-02 00:00:00
Healesville-Koo Wee Rup Road,HEALESVILLE,ABC,2024-07-01 00:00:00
Healesville-Koo Wee Rup Road,YELLINGBO,ABC,2024-07-01 00:00:00
Heathcote-Nagambie Road,GRAYTOWN,C,2024-08-01 00:00:00
Heathcote-Nagambie Road,NAGAMBIE,C,2024-08-01 00:00:00
Heatherdale Road,MITCHAM,C,2024-06-01 00:00:00
Heatherton Road,CLAYTON SOUTH,AC,2024-06-01 00:00:00
Heatherton Road,ENDEAVOUR HILLS,BC,2024-04-01 00:00:00
Heaths Road,HOPPERS CROSSING,ABCD,2024-04-01 00:00:00
Heaths Road,WERRIBEE,C,2023-08-01 00:00:00
Hedderwick Street,ESSENDON,C,2024-08-01 00:00:00
Heidelberg Road,CLIFTON HILL,BC,2024-08-01 00:00:00
Heidelberg-Kinglake Road,COTTLES BRIDGE,ABCD,2024-08-01 00:00:00
Heidelberg-Warrandyte Road,WARRANDYTE,C,2024-06-01 00:00:00
Heinz Lane,INVERMAY PARK,BC,2024-08-01 00:00:00
Henderson Road,TONGALA,ACD,T
Hendy Main Road,MORIAC,ABC,2024-08-01 00:00:00
